año,edad,sexo,id_comuna,comuna,valor
2005,0-4,Hombres,01,Atardeceres,780
2005,5-9,Hombres,01,Atardeceres,972
2005,10-14,Hombres,01,Atardeceres,1121
2005,15-19,Hombres,01,Atardeceres,1275
2005,20-24,Hombres,01,Atardeceres,1441
2005,25-29,Hombres,01,Atardeceres,1165
2005,30-34,Hombres,01,Atardeceres,857
2005,35-39,Hombres,01,Atardeceres,949
2005,40-44,Hombres,01,Atardeceres,1069
2005,45-49,Hombres,01,Atardeceres,1047
2005,50-54,Hombres,01,Atardeceres,851
2005,55-59,Hombres,01,Atardeceres,694
2005,60-64,Hombres,01,Atardeceres,519
2005,65-69,Hombres,01,Atardeceres,359
2005,70-74,Hombres,01,Atardeceres,286
2005,75-79,Hombres,01,Atardeceres,169
2005,80-84,Hombres,01,Atardeceres,130
2005,85-89,Hombres,01,Atardeceres,58
2005,90-94,Hombres,01,Atardeceres,25
2005,95-99,Hombres,01,Atardeceres,8
2005,100+,Hombres,01,Atardeceres,8
2005,0-4,Mujeres,01,Atardeceres,734
2005,5-9,Mujeres,01,Atardeceres,924
2005,10-14,Mujeres,01,Atardeceres,1073
2005,15-19,Mujeres,01,Atardeceres,1373
2005,20-24,Mujeres,01,Atardeceres,1480
2005,25-29,Mujeres,01,Atardeceres,1248
2005,30-34,Mujeres,01,Atardeceres,1019
2005,35-39,Mujeres,01,Atardeceres,1197
2005,40-44,Mujeres,01,Atardeceres,1361
2005,45-49,Mujeres,01,Atardeceres,1360
2005,50-54,Mujeres,01,Atardeceres,1214
2005,55-59,Mujeres,01,Atardeceres,948
2005,60-64,Mujeres,01,Atardeceres,680
2005,65-69,Mujeres,01,Atardeceres,505
2005,70-74,Mujeres,01,Atardeceres,383
2005,75-79,Mujeres,01,Atardeceres,313
2005,80-84,Mujeres,01,Atardeceres,184
2005,85-89,Mujeres,01,Atardeceres,88
2005,90-94,Mujeres,01,Atardeceres,23
2005,95-99,Mujeres,01,Atardeceres,18
2005,100+,Mujeres,01,Atardeceres,4
2005,0-4,Hombres,02,San José,1190
2005,5-9,Hombres,02,San José,1203
2005,10-14,Hombres,02,San José,1265
2005,15-19,Hombres,02,San José,1346
2005,20-24,Hombres,02,San José,1111
2005,25-29,Hombres,02,San José,1018
2005,30-34,Hombres,02,San José,907
2005,35-39,Hombres,02,San José,875
2005,40-44,Hombres,02,San José,819
2005,45-49,Hombres,02,San José,781
2005,50-54,Hombres,02,San José,695
2005,55-59,Hombres,02,San José,501
2005,60-64,Hombres,02,San José,441
2005,65-69,Hombres,02,San José,286
2005,70-74,Hombres,02,San José,223
2005,75-79,Hombres,02,San José,155
2005,80-84,Hombres,02,San José,94
2005,85-89,Hombres,02,San José,44
2005,90-94,Hombres,02,San José,13
2005,95-99,Hombres,02,San José,6
2005,100+,Hombres,02,San José,0
2005,0-4,Mujeres,02,San José,1169
2005,5-9,Mujeres,02,San José,1218
2005,10-14,Mujeres,02,San José,1273
2005,15-19,Mujeres,02,San José,1271
2005,20-24,Mujeres,02,San José,1222
2005,25-29,Mujeres,02,San José,1052
2005,30-34,Mujeres,02,San José,977
2005,35-39,Mujeres,02,San José,1012
2005,40-44,Mujeres,02,San José,931
2005,45-49,Mujeres,02,San José,815
2005,50-54,Mujeres,02,San José,648
2005,55-59,Mujeres,02,San José,535
2005,60-64,Mujeres,02,San José,453
2005,65-69,Mujeres,02,San José,309
2005,70-74,Mujeres,02,San José,252
2005,75-79,Mujeres,02,San José,192
2005,80-84,Mujeres,02,San José,104
2005,85-89,Mujeres,02,San José,42
2005,90-94,Mujeres,02,San José,11
2005,95-99,Mujeres,02,San José,5
2005,100+,Mujeres,02,San José,0
2005,0-4,Hombres,03,Cumanday,854
2005,5-9,Hombres,03,Cumanday,1005
2005,10-14,Hombres,03,Cumanday,1121
2005,15-19,Hombres,03,Cumanday,1288
2005,20-24,Hombres,03,Cumanday,1316
2005,25-29,Hombres,03,Cumanday,1161
2005,30-34,Hombres,03,Cumanday,1021
2005,35-39,Hombres,03,Cumanday,1052
2005,40-44,Hombres,03,Cumanday,965
2005,45-49,Hombres,03,Cumanday,1018
2005,50-54,Hombres,03,Cumanday,874
2005,55-59,Hombres,03,Cumanday,724
2005,60-64,Hombres,03,Cumanday,591
2005,65-69,Hombres,03,Cumanday,443
2005,70-74,Hombres,03,Cumanday,361
2005,75-79,Hombres,03,Cumanday,251
2005,80-84,Hombres,03,Cumanday,165
2005,85-89,Hombres,03,Cumanday,67
2005,90-94,Hombres,03,Cumanday,25
2005,95-99,Hombres,03,Cumanday,3
2005,100+,Hombres,03,Cumanday,4
2005,0-4,Mujeres,03,Cumanday,835
2005,5-9,Mujeres,03,Cumanday,970
2005,10-14,Mujeres,03,Cumanday,1128
2005,15-19,Mujeres,03,Cumanday,1247
2005,20-24,Mujeres,03,Cumanday,1329
2005,25-29,Mujeres,03,Cumanday,1220
2005,30-34,Mujeres,03,Cumanday,1101
2005,35-39,Mujeres,03,Cumanday,1247
2005,40-44,Mujeres,03,Cumanday,1213
2005,45-49,Mujeres,03,Cumanday,1144
2005,50-54,Mujeres,03,Cumanday,1065
2005,55-59,Mujeres,03,Cumanday,898
2005,60-64,Mujeres,03,Cumanday,735
2005,65-69,Mujeres,03,Cumanday,641
2005,70-74,Mujeres,03,Cumanday,455
2005,75-79,Mujeres,03,Cumanday,361
2005,80-84,Mujeres,03,Cumanday,236
2005,85-89,Mujeres,03,Cumanday,136
2005,90-94,Mujeres,03,Cumanday,47
2005,95-99,Mujeres,03,Cumanday,23
2005,100+,Mujeres,03,Cumanday,18
2005,0-4,Hombres,04,La Estación,532
2005,5-9,Hombres,04,La Estación,635
2005,10-14,Hombres,04,La Estación,734
2005,15-19,Hombres,04,La Estación,938
2005,20-24,Hombres,04,La Estación,1238
2005,25-29,Hombres,04,La Estación,922
2005,30-34,Hombres,04,La Estación,688
2005,35-39,Hombres,04,La Estación,716
2005,40-44,Hombres,04,La Estación,666
2005,45-49,Hombres,04,La Estación,651
2005,50-54,Hombres,04,La Estación,608
2005,55-59,Hombres,04,La Estación,544
2005,60-64,Hombres,04,La Estación,357
2005,65-69,Hombres,04,La Estación,280
2005,70-74,Hombres,04,La Estación,248
2005,75-79,Hombres,04,La Estación,166
2005,80-84,Hombres,04,La Estación,117
2005,85-89,Hombres,04,La Estación,42
2005,90-94,Hombres,04,La Estación,16
2005,95-99,Hombres,04,La Estación,6
2005,100+,Hombres,04,La Estación,4
2005,0-4,Mujeres,04,La Estación,512
2005,5-9,Mujeres,04,La Estación,633
2005,10-14,Mujeres,04,La Estación,801
2005,15-19,Mujeres,04,La Estación,1133
2005,20-24,Mujeres,04,La Estación,1282
2005,25-29,Mujeres,04,La Estación,909
2005,30-34,Mujeres,04,La Estación,862
2005,35-39,Mujeres,04,La Estación,814
2005,40-44,Mujeres,04,La Estación,949
2005,45-49,Mujeres,04,La Estación,1028
2005,50-54,Mujeres,04,La Estación,901
2005,55-59,Mujeres,04,La Estación,717
2005,60-64,Mujeres,04,La Estación,542
2005,65-69,Mujeres,04,La Estación,413
2005,70-74,Mujeres,04,La Estación,337
2005,75-79,Mujeres,04,La Estación,266
2005,80-84,Mujeres,04,La Estación,162
2005,85-89,Mujeres,04,La Estación,93
2005,90-94,Mujeres,04,La Estación,34
2005,95-99,Mujeres,04,La Estación,9
2005,100+,Mujeres,04,La Estación,9
2005,0-4,Hombres,05,Ciudadela del Norte,1316
2005,5-9,Hombres,05,Ciudadela del Norte,1671
2005,10-14,Hombres,05,Ciudadela del Norte,1870
2005,15-19,Hombres,05,Ciudadela del Norte,1764
2005,20-24,Hombres,05,Ciudadela del Norte,1561
2005,25-29,Hombres,05,Ciudadela del Norte,1404
2005,30-34,Hombres,05,Ciudadela del Norte,1372
2005,35-39,Hombres,05,Ciudadela del Norte,1272
2005,40-44,Hombres,05,Ciudadela del Norte,1199
2005,45-49,Hombres,05,Ciudadela del Norte,1027
2005,50-54,Hombres,05,Ciudadela del Norte,849
2005,55-59,Hombres,05,Ciudadela del Norte,598
2005,60-64,Hombres,05,Ciudadela del Norte,404
2005,65-69,Hombres,05,Ciudadela del Norte,295
2005,70-74,Hombres,05,Ciudadela del Norte,186
2005,75-79,Hombres,05,Ciudadela del Norte,138
2005,80-84,Hombres,05,Ciudadela del Norte,54
2005,85-89,Hombres,05,Ciudadela del Norte,34
2005,90-94,Hombres,05,Ciudadela del Norte,7
2005,95-99,Hombres,05,Ciudadela del Norte,3
2005,100+,Hombres,05,Ciudadela del Norte,2
2005,0-4,Mujeres,05,Ciudadela del Norte,1496
2005,5-9,Mujeres,05,Ciudadela del Norte,1650
2005,10-14,Mujeres,05,Ciudadela del Norte,1787
2005,15-19,Mujeres,05,Ciudadela del Norte,1758
2005,20-24,Mujeres,05,Ciudadela del Norte,1650
2005,25-29,Mujeres,05,Ciudadela del Norte,1513
2005,30-34,Mujeres,05,Ciudadela del Norte,1521
2005,35-39,Mujeres,05,Ciudadela del Norte,1524
2005,40-44,Mujeres,05,Ciudadela del Norte,1444
2005,45-49,Mujeres,05,Ciudadela del Norte,1196
2005,50-54,Mujeres,05,Ciudadela del Norte,950
2005,55-59,Mujeres,05,Ciudadela del Norte,721
2005,60-64,Mujeres,05,Ciudadela del Norte,528
2005,65-69,Mujeres,05,Ciudadela del Norte,310
2005,70-74,Mujeres,05,Ciudadela del Norte,271
2005,75-79,Mujeres,05,Ciudadela del Norte,165
2005,80-84,Mujeres,05,Ciudadela del Norte,96
2005,85-89,Mujeres,05,Ciudadela del Norte,27
2005,90-94,Mujeres,05,Ciudadela del Norte,15
2005,95-99,Mujeres,05,Ciudadela del Norte,3
2005,100+,Mujeres,05,Ciudadela del Norte,0
2005,0-4,Hombres,06,Ecotursitico Cerro de Oro,852
2005,5-9,Hombres,06,Ecotursitico Cerro de Oro,1071
2005,10-14,Hombres,06,Ecotursitico Cerro de Oro,1206
2005,15-19,Hombres,06,Ecotursitico Cerro de Oro,1348
2005,20-24,Hombres,06,Ecotursitico Cerro de Oro,1280
2005,25-29,Hombres,06,Ecotursitico Cerro de Oro,1026
2005,30-34,Hombres,06,Ecotursitico Cerro de Oro,1069
2005,35-39,Hombres,06,Ecotursitico Cerro de Oro,1205
2005,40-44,Hombres,06,Ecotursitico Cerro de Oro,1134
2005,45-49,Hombres,06,Ecotursitico Cerro de Oro,892
2005,50-54,Hombres,06,Ecotursitico Cerro de Oro,730
2005,55-59,Hombres,06,Ecotursitico Cerro de Oro,568
2005,60-64,Hombres,06,Ecotursitico Cerro de Oro,461
2005,65-69,Hombres,06,Ecotursitico Cerro de Oro,324
2005,70-74,Hombres,06,Ecotursitico Cerro de Oro,260
2005,75-79,Hombres,06,Ecotursitico Cerro de Oro,178
2005,80-84,Hombres,06,Ecotursitico Cerro de Oro,100
2005,85-89,Hombres,06,Ecotursitico Cerro de Oro,36
2005,90-94,Hombres,06,Ecotursitico Cerro de Oro,15
2005,95-99,Hombres,06,Ecotursitico Cerro de Oro,8
2005,100+,Hombres,06,Ecotursitico Cerro de Oro,0
2005,0-4,Mujeres,06,Ecotursitico Cerro de Oro,860
2005,5-9,Mujeres,06,Ecotursitico Cerro de Oro,1093
2005,10-14,Mujeres,06,Ecotursitico Cerro de Oro,1250
2005,15-19,Mujeres,06,Ecotursitico Cerro de Oro,1238
2005,20-24,Mujeres,06,Ecotursitico Cerro de Oro,1305
2005,25-29,Mujeres,06,Ecotursitico Cerro de Oro,1216
2005,30-34,Mujeres,06,Ecotursitico Cerro de Oro,1281
2005,35-39,Mujeres,06,Ecotursitico Cerro de Oro,1406
2005,40-44,Mujeres,06,Ecotursitico Cerro de Oro,1349
2005,45-49,Mujeres,06,Ecotursitico Cerro de Oro,1100
2005,50-54,Mujeres,06,Ecotursitico Cerro de Oro,971
2005,55-59,Mujeres,06,Ecotursitico Cerro de Oro,837
2005,60-64,Mujeres,06,Ecotursitico Cerro de Oro,669
2005,65-69,Mujeres,06,Ecotursitico Cerro de Oro,429
2005,70-74,Mujeres,06,Ecotursitico Cerro de Oro,355
2005,75-79,Mujeres,06,Ecotursitico Cerro de Oro,258
2005,80-84,Mujeres,06,Ecotursitico Cerro de Oro,142
2005,85-89,Mujeres,06,Ecotursitico Cerro de Oro,82
2005,90-94,Mujeres,06,Ecotursitico Cerro de Oro,30
2005,95-99,Mujeres,06,Ecotursitico Cerro de Oro,2
2005,100+,Mujeres,06,Ecotursitico Cerro de Oro,0
2005,0-4,Hombres,07,Tesorito,698
2005,5-9,Hombres,07,Tesorito,872
2005,10-14,Hombres,07,Tesorito,724
2005,15-19,Hombres,07,Tesorito,1066
2005,20-24,Hombres,07,Tesorito,1101
2005,25-29,Hombres,07,Tesorito,1043
2005,30-34,Hombres,07,Tesorito,930
2005,35-39,Hombres,07,Tesorito,814
2005,40-44,Hombres,07,Tesorito,733
2005,45-49,Hombres,07,Tesorito,666
2005,50-54,Hombres,07,Tesorito,691
2005,55-59,Hombres,07,Tesorito,564
2005,60-64,Hombres,07,Tesorito,417
2005,65-69,Hombres,07,Tesorito,272
2005,70-74,Hombres,07,Tesorito,184
2005,75-79,Hombres,07,Tesorito,111
2005,80-84,Hombres,07,Tesorito,71
2005,85-89,Hombres,07,Tesorito,28
2005,90-94,Hombres,07,Tesorito,6
2005,95-99,Hombres,07,Tesorito,0
2005,100+,Hombres,07,Tesorito,4
2005,0-4,Mujeres,07,Tesorito,662
2005,5-9,Mujeres,07,Tesorito,822
2005,10-14,Mujeres,07,Tesorito,1060
